,Brand,Model,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro,Accel_sec,TopSpeed_km/h,Range_km,Efficiency_Wh,FastCharge_km/h
0,Tesla ,Model 3 Long Range Dual Motor,Yes,AWD,Type 2 CCS,Sedan,D,5,55480,4.6,233,450,161,940
1,Volkswagen ,ID.3 Pure,Yes,RWD,Type 2 CCS,Hatchback,C,5,30000,10.0,160,270,167,250
2,Polestar ,2,Yes,AWD,Type 2 CCS,Liftback,D,5,56440,4.7,210,400,181,620
3,BMW ,iX3 ,Yes,RWD,Type 2 CCS,SUV,D,5,68040,6.8,180,360,206,560
4,Honda ,e ,Yes,RWD,Type 2 CCS,Hatchback,B,4,32997,9.5,145,170,168,190
5,Lucid ,Air ,Yes,AWD,Type 2 CCS,Sedan,F,5,105000,2.8,250,610,180,620
6,Volkswagen ,e-Golf ,Yes,FWD,Type 2 CCS,Hatchback,C,5,31900,9.6,150,190,168,220
7,Peugeot ,e-208 ,Yes,FWD,Type 2 CCS,Hatchback,B,5,29682,8.1,150,275,164,420
8,Tesla ,Model 3 Standard Range Plus,Yes,RWD,Type 2 CCS,Sedan,D,5,46380,5.6,225,310,153,650
9,Audi ,Q4 e-tron ,Yes,AWD,Type 2 CCS,SUV,D,5,55000,6.3,180,400,193,540
10,Mercedes ,EQC 400 4MATIC,Yes,AWD,Type 2 CCS,SUV,D,5,69484,5.1,180,370,216,440
11,Nissan ,Leaf ,Yes,FWD,Type 2 CHAdeMO,Hatchback,C,5,29234,7.9,144,220,164,230
12,Hyundai ,Kona Electric 64 kWh,Yes,FWD,Type 2 CCS,SUV,B,5,40795,7.9,167,400,160,380
13,BMW ,i4 ,Yes,RWD,Type 2 CCS,Sedan,D,5,65000,4.0,200,450,178,650
14,Hyundai ,IONIQ Electric,Yes,FWD,Type 2 CCS,Liftback,C,5,34459,9.7,165,250,153,210
15,Volkswagen ,ID.3 Pro S,Yes,RWD,Type 2 CCS,Hatchback,C,4,40936,7.9,160,440,175,590
16,Porsche ,Taycan Turbo S,Yes,AWD,Type 2 CCS,Sedan,F,4,180781,2.8,260,375,223,780
17,Volkswagen ,e-Up! ,Yes,FWD,Type 2 CCS,Hatchback,A,4,21421,11.9,130,195,166,170
18,MG ,ZS EV,Yes,FWD,Type 2 CCS,SUV,B,5,30000,8.2,140,220,193,260
19,Mini ,Cooper SE ,Yes,FWD,Type 2 CCS,Hatchback,B,4,31681,7.3,150,185,156,260
20,Opel ,Corsa-e ,Yes,FWD,Type 2 CCS,Hatchback,B,5,29146,8.1,150,275,164,420
21,Tesla ,Model Y Long Range Dual Motor,Yes,AWD,Type 2 CCS,SUV,D,7,58620,5.1,217,425,171,930
22,Skoda ,Enyaq iV 50,Yes,RWD,Type 2 CCS,SUV,C,5,35000,10.0,160,290,179,230
23,Audi ,e-tron GT ,Yes,AWD,Type 2 CCS,Sedan,F,4,125000,3.5,240,425,197,850
24,Tesla ,Model 3 Long Range Performance,Yes,AWD,Type 2 CCS,Sedan,D,5,61480,3.4,261,435,167,910
25,Volkswagen ,ID.4 ,Yes,RWD,Type 2 CCS,SUV,C,5,45000,7.5,160,420,183,560
26,Volkswagen ,ID.3 Pro,Yes,RWD,Type 2 CCS,Hatchback,C,5,33000,9.0,160,350,166,490
27,Volvo ,XC40 P8 AWD Recharge,Yes,AWD,Type 2 CCS,SUV,C,5,60437,4.9,180,375,200,470
28,BMW ,i3 120 Ah,Yes,RWD,Type 2 CCS,Hatchback,B,4,38017,7.3,150,235,161,270
